TilID Xstart Ystart UZ  EPSG   MinLon    MaxLon   MinLat    MaxLat
01CCV 300000 2000020 1S  32701 176.8646  180       -73.0597  -72.0125 
01CDH 399960 800020 1S  32701 174.7129  180       -83.8085  -82.7967 
01CDJ 399960 900040 1S  32701 175.7482  180       -82.9134  -81.9069 
01CDK 399960 1000000 1S  32701 176.5527  180       -82.0187  -81.0164 
01CDL 399960 1100020 1S  32701 177.1962  180       -81.1232  -80.1245 
01CDM 399960 1200040 1S  32701 177.722   180       -80.2276  -79.2318 
01CDN 399960 1300000 1S  32701 178.1594  180       -79.3324  -78.339  
01CDP 399960 1400020 1S  32701 178.5291  180       -78.4366  -77.4453 
01CDQ 399960 1500040 1S  32701 178.8456  180       -77.5406  -76.5511 
01CDR 399960 1600000 1S  32701 179.1192  180       -76.6452  -75.6572 
01CDS 399960 1700020 1S  32701 179.3583  180       -75.7491  -74.7625 
01CDT 399960 1800040 1S  32701 179.569   180       -74.8529  -73.8675 
01CDU 399960 1900000 1S  32701 179.7558  180       -73.9572  -72.9728 
01CDV 399960 2000020 1S  32701 -180      -176.6995 -73.0832  -72.0773 
01CEH 499980 800020 1S  32701 -177.0017 -167.9188 -83.836   -82.7854 
01CEJ 499980 900040 1S  32701 -177.0015 -169.0507 -82.94    -81.8969 
01CEK 499980 1000000 1S  32701 -177.0013 -169.931  -82.0445  -81.0074 
01CEL 499980 1100020 1S  32701 -177.0012 -170.6355 -81.1485  -80.1162 
01CEM 499980 1200040 1S  32701 -177.0011 -171.2114 -80.2524  -79.2242 
01CEN 499980 1300000 1S  32701 -177.001  -171.6906 -79.3568  -78.3321 
01CEP 499980 1400020 1S  32701 -177.0009 -172.0958 -78.4607  -77.4388 
01CEQ 499980 1500040 1S  32701 -177.0008 -172.4427 -77.5644  -76.5452 
01CER 499980 1600000 1S  32701 -177.0008 -172.7426 -76.6687  -75.6516 
01CES 499980 1700020 1S  32701 -177.0007 -173.0048 -75.7723  -74.7572 
01CET 499980 1800040 1S  32701 -177.0007 -173.2358 -74.8759  -73.8625 
01CEU 499980 1900000 1S  32701 -177.0006 -173.4406 -73.9799  -72.9681 
01CEV 499980 2000020 1S  32701 -177.0006 -173.6237 -73.0834  -72.0729 
01CFV 600000 2000020 1S  32701 -174.0875 -170.5663 -73.0603  -72.0038 
01DCA 300000 2100040 1S  32701 177.1619  180       -72.1612  -71.1201 
01DCB 300000 2200000 1S  32701 177.4303  180       -71.2633  -70.2278 
01DCC 300000 2300020 1S  32701 177.6741  180       -70.365   -69.3346 
01DCD 300000 2400040 1S  32701 177.8963  180       -69.4668  -68.441  
01DCE 300000 2500000 1S  32701 178.0995  180       -68.5692  -67.5475 
01DCF 300000 2600020 1S  32701 178.2862  180       -67.671   -66.6532 
01DCG 300000 2700040 1S  32701 178.4581  180       -66.7729  -65.7586 
01DCH 300000 2800000 1S  32701 178.6169  180       -65.8753  -64.8642 
01DCJ 300000 2900020 1S  32701 178.764   180       -64.9772  -63.9691 
01DDA 399960 2100040 1S  32701 -179.9275 -176.7142 -72.1865  -71.1817 
